"","Level_Number","Report_Number","Table_Number","Line_Number","CO","DIST","SCHL","Line_Text","NoStud5","NoHFZ5","Perc5a","Perc5b","Perc5c","NoStud7","NoHFZ7","Perc7a","Perc7b","Perc7c","NoStud9","NoHFZ9","Perc9a","Perc9b","Perc9c","ChrtNum"
"1",1,0,1,4,1,61150,132225,"Trunk Extension Strength           ",NA,"0","0","0","0",NA,"0","0","0","0",721,"674","93.5","6.5","0","0"
"2",1,0,1,5,1,61150,132225,"Upper Body Strength                ",NA,"0","0","0","0",NA,"0","0","0","0",721,"641","88.9","11.1","0","0"
"3",1,0,1,6,1,61150,132225,"Flexibility                        ",NA,"0","0","0","0",NA,"0","0","0","0",721,"682","94.6","5.4","0","0"
"4",1,0,1,1,1,61150,6090351,"Aerobic Capacity                   ",78,"42","53.8","38.5","7.7",NA,"0","0","0","0",NA,"0","0","0","0","0"
"5",1,0,1,2,1,61150,6090351,"Body Composition                   ",78,"49","62.8","16.7","20.5",NA,"0","0","0","0",NA,"0","0","0","0","0"
"6",1,0,1,3,1,61150,6090351,"Abdominal Strength                 ",78,"71","91","9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"7",1,0,1,4,1,61150,6090351,"Trunk Extension Strength           ",78,"62","79.5","20.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"8",1,0,1,5,1,61150,6090351,"Upper Body Strength                ",78,"68","87.2","12.8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"9",1,0,1,6,1,61150,6090351,"Flexibility                        ",78,"65","83.3","16.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"10",1,0,1,1,1,61150,6090369,"Aerobic Capacity                   ",81,"70","86.4","7.4","6.2",NA,"0","0","0","0",NA,"0","0","0","0","0"
"11",1,0,1,2,1,61150,6090369,"Body Composition                   ",81,"59","72.8","16","11.2",NA,"0","0","0","0",NA,"0","0","0","0","0"
"12",1,0,1,3,1,61150,6090369,"Abdominal Strength                 ",81,"80","98.8","1.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"13",1,0,1,4,1,61150,6090369,"Trunk Extension Strength           ",81,"79","97.5","2.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"14",1,0,1,5,1,61150,6090369,"Upper Body Strength                ",81,"68","84","16","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"15",1,0,1,6,1,61150,6090369,"Flexibility                        ",81,"73","90.1","9.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"16",1,0,1,1,1,61150,6090385,"Aerobic Capacity                   ",NA,"0","0","0","0",260,"218","83.8","11.5","4.7",NA,"0","0","0","0","0"
"17",1,0,1,2,1,61150,6090385,"Body Composition                   ",NA,"0","0","0","0",260,"200","76.9","12.7","10.4",NA,"0","0","0","0","0"
"18",1,0,1,3,1,61150,6090385,"Abdominal Strength                 ",NA,"0","0","0","0",260,"221","85","15","0",NA,"0","0","0","0","0"
"19",1,0,1,4,1,61150,6090385,"Trunk Extension Strength           ",NA,"0","0","0","0",260,"256","98.5","1.5","0",NA,"0","0","0","0","0"
"20",1,0,1,5,1,61150,6090385,"Upper Body Strength                ",NA,"0","0","0","0",260,"200","76.9","23.1","0",NA,"0","0","0","0","0"
"21",1,0,1,6,1,61150,6090385,"Flexibility                        ",NA,"0","0","0","0",260,"231","88.8","11.2","0",NA,"0","0","0","0","0"
"22",1,0,1,1,1,61150,6090393,"Aerobic Capacity                   ",119,"99","83.2","10.1","6.7",NA,"0","0","0","0",NA,"0","0","0","0","0"
"23",1,0,1,2,1,61150,6090393,"Body Composition                   ",119,"87","73.1","16.8","10.1",NA,"0","0","0","0",NA,"0","0","0","0","0"
"24",1,0,1,3,1,61150,6090393,"Abdominal Strength                 ",119,"89","74.8","25.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"25",1,0,1,4,1,61150,6090393,"Trunk Extension Strength           ",119,"110","92.4","7.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"26",1,0,1,5,1,61150,6090393,"Upper Body Strength                ",119,"84","70.6","29.4","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"27",1,0,1,6,1,61150,6090393,"Flexibility                        ",119,"93","78.2","21.8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"28",1,0,1,1,19,64451,6012736,"Aerobic Capacity                   ",118,"32","27.1","72.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"29",1,0,1,2,19,64451,6012736,"Body Composition                   ",118,"82","69.5","18.6","11.9",NA,"0","0","0","0",NA,"0","0","0","0","0"
